temperature,humidity,water_sensor,action
25.9,91.9,3526,2
27.7,62.5,235,0
34.5,45.6,62,0
26.3,83.9,1383,2
33.6,40.3,17,0
26.6,89.6,965,1
35.6,61.5,101,1
24.9,97.5,3400,2
34.6,40.5,53,0
24.8,95.6,441,1
34.1,42.2,76,0
33.2,43.3,102,0
35.5,60.5,105,1
30.8,55.9,122,0
37.5,41.3,40,1
28.5,85.7,1907,2
36.5,42,83,1
30.6,75.7,2,0
31.3,51,11,0
31.3,61.8,121,0
33.8,58.6,118,0
27.3,63.2,210,0
38,64.4,130,1
33.2,45.5,96,0
23.9,97.5,2956,2
26.1,94.6,3405,2
22.2,98.7,3607,2
27.2,67.9,227,0
27.5,90.5,2754,2
32.5,64.2,236,0
32,64.7,281,0
28.6,77.7,1739,2
30.1,68.3,40,0
37,51.1,83,1
28,67.8,27,0
35.3,48.1,44,1
31.9,62.1,117,0
34.2,48.4,93,0
33.6,54.7,0,0
32.9,49.5,106,0
27.7,82.1,955,1
25.8,92,2333,2
34.2,63.4,28,0
22.9,91.8,258,1
34.1,41,19,0
25.9,90,3216,2
25.5,94.5,694,1
29.1,70.6,150,0
32.5,57.6,123,0
28.9,76.4,1468,2
32.2,63.5,289,0
28.9,80.6,913,1
36.6,61.6,112,1
37.4,57.2,32,1
25.8,98.3,503,1
25.4,84.9,1809,2
23.3,98.7,288,1
26.9,92.4,2488,2
35.2,59.1,131,1
28.2,86.4,1800,2
37,49.4,53,1
23.3,96.3,342,1
26.6,81.7,1104,2
29.7,60.3,266,0
24.7,96.2,202,1
32.7,76.9,116,0
23.5,86.9,2303,2
30.2,72.2,20,0
30.1,56.2,123,0
24.6,93.8,3323,2
23.4,91,3963,2
32.3,47.7,34,0
27.5,74.4,1,0
33.3,43,6,0
25.7,82.9,1758,2
34.5,46.4,35,0
27.5,76.3,171,0
35.1,63.8,118,1
24.1,95.9,225,1
34.9,50.3,124,0
25.1,95.6,3858,2
24.4,95.7,3083,2
28.2,86.5,1792,2
27.9,64.7,107,0
24.1,86.2,3455,2
31.8,45.2,10,0
33.1,54.9,1,0
34.8,56.9,41,0
31.3,73.8,279,0
30.8,58.1,41,0
25.1,92.6,3352,2
29.4,67.3,69,0
27.4,70.4,129,0
25.3,84.6,1575,2
26.3,91.9,2380,2
28.1,61,171,0
27.2,86,915,1
34.5,63.9,76,0
25,91.7,645,1
31.9,60,135,0
27.6,88.1,2347,2
22.1,97.4,3363,2
35.4,42.3,149,1
36,43.2,15,1
28,61.3,291,0
32.1,49,84,0
31.9,52.7,66,0
29.7,72,261,0
24,99.9,3243,2
37.4,42.9,81,1
24.7,95.3,661,1
27,89,2072,2
30.2,43.8,19,0
32.6,71.5,252,0
27.6,91.3,3133,2
27.1,89.1,2482,2
27.9,67.4,24,0
30.6,59.4,127,0
28.9,70.1,145,0
36.8,40,42,1
24.6,91.5,716,1
25.3,85.8,2689,2
35.6,64.6,82,1
30.6,59.6,114,0
35.5,55.5,3,1
25.3,96.2,3819,2
35.2,61.2,62,1
25,93.5,2482,2
29.5,76.6,228,0
32.8,65,61,0
27.1,65.2,137,0
25.8,84.3,1836,2
31.9,64.4,81,0
30.3,49.3,138,0
32.1,62,281,0
36.9,46.1,81,1
29.3,67.9,41,0
27.5,97.4,2016,2
28.8,87.1,828,1
37.4,46.3,20,1
25.5,90,2725,2
24.5,90.7,372,1
35.9,52.8,100,1
30.3,58.7,128,0
30.6,40.3,132,0
29.3,69.2,227,0
36.2,56.5,27,1
29.5,71,7,0
30.2,42.1,80,0
36.2,55.6,48,1
32.1,41.7,121,0
32.4,66.4,163,0
37.8,55,94,1
30.7,63.1,9,0
37.4,45.6,58,1
29.3,63.3,212,0
27,75.2,921,1
27.3,96,3256,2
30.8,64.4,125,0
26.6,95.1,2235,2
32.6,58.8,88,0
22.2,91.6,3540,2
25.4,89.5,887,1
33.3,59,96,0
28.8,71.3,29,0
26.2,94.9,3134,2
34.5,60.3,107,0
29,76.5,1673,2
26.2,86.1,1101,2
22.8,93.6,212,1
30.1,77,53,0
23.1,94.7,3460,2
29,63,69,0
28,89.8,3404,2
31.2,68.5,102,0
24.5,91.2,3805,2
33.1,55.4,3025,1
26.8,88.1,150,1
32.5,61.0,45,0
23.8,95.5,4010,2
29.4,59.8,3850,1
25.1,90.3,50,1
34.7,48.2,15,0
24.1,97.1,3990,2
31.8,62.5,4050,1
27.2,85.4,210,1
30.3,70.1,88,0
23.5,98.2,3750,2
32.9,51.6,2900,1
26.5,89.5,80,1
29.8,64.2,112,0
24.8,92.4,3605,2
30.1,58.7,3500,1
25.9,87.6,180,1
35.2,42.1,5,0
23.1,99.1,4095,2
33.4,54.2,3150,1
26.1,86.2,95,1
28.5,75.3,195,0
25.4,88.8,3210,2
31.5,60.1,3980,1
24.9,93.5,120,1
32.1,65.4,76,0
24.3,96.3,3890,2
29.7,57.5,3650,1
27.5,84.1,230,1
30.8,68.9,134,0
23.6,97.8,4055,2
34.1,49.5,2850,1
25.7,89.1,65,1
31.9,63.2,52,0
24.6,91.8,3700,2
32.8,53.4,3900,1
26.3,88.4,145,1
29.2,72.1,165,0
25.1,90.5,3450,2
30.5,59.3,3300,1
25.8,87.2,175,1
36.1,40.5,0,0
23.3,98.7,4020,2
33.7,52.8,3080,1
26.9,85.8,110,1
28.9,74.5,188,0
24.7,92.9,3550,2
31.1,61.7,4015,1
25.2,94.1,85,1
32.4,66.8,91,0
24.2,95.6,3940,2
29.9,58.9,3720,1
27.8,83.5,245,1
30.6,69.5,142,0
23.7,97.2,4080,2
34.4,47.8,2950,1
25.5,90.8,70,1
31.6,64.7,63,0
24.5,91.5,3650,2
32.2,55.1,3820,1
26.6,87.9,155,1
29.5,71.4,178,0
25.0,91.1,3380,2
30.2,60.5,3410,1
25.6,88.5,190,1
35.8,41.2,8,0
23.4,98.1,4005,2
33.2,53.7,3110,1
26.4,86.7,105,1
28.7,73.8,199,0
24.8,92.1,3490,2
31.4,60.8,3950,1
25.1,94.6,90,1
32.7,65.1,84,0
24.4,94.9,3870,2
29.6,58.2,3680,1
27.4,84.6,220,1
30.9,68.2,127,0
23.8,96.5,4040,2
34.8,46.3,2880,1
25.9,89.7,75,1
31.3,63.9,58,0
24.7,90.9,3610,2
32.6,54.6,3860,1
26.2,88.8,135,1
29.1,70.7,159,0
25.3,89.9,3320,2
30.7,59.8,3350,1
25.7,87.5,185,1
36.4,39.8,2,0
23.2,98.9,4070,2
33.5,52.2,3050,1
26.7,85.2,115,1
28.3,76.1,208,0
24.9,91.4,3420,2
31.7,61.5,4080,1
25.0,95.3,80,1
32.1,67.5,97,0
24.1,95.8,3910,2
29.8,59.5,3760,1
27.9,82.9,255,1
30.4,70.8,149,0
23.9,96.8,4010,2
34.2,48.6,2920,1
25.4,90.2,60,1
31.8,62.8,47,0
24.6,92.5,3660,2
32.9,56.3,3790,1
26.5,88.1,165,1
29.4,72.6,182,0
25.1,90.7,3290,2
30.1,61.2,3470,1
25.8,86.8,198,1
35.5,43.4,12,0
23.6,97.5,3980,2
33.8,54.9,3180,1
26.1,87.4,100,1
28.8,74.9,192,0
24.8,93.2,3520,2
31.2,62.2,3920,1
25.3,93.8,105,1
32.5,66.1,88,0
24.4,95.1,3840,2
29.3,58.7,3620,1
27.6,83.8,235,1
30.8,69.2,139,0
23.5,98.4,4060,2
34.5,47.1,2810,1
25.8,89.3,68,1
31.6,64.2,55,0
24.7,91.6,3580,2
32.3,53.9,3880,1
26.4,87.7,140,1
29.0,71.8,172,0
25.2,89.5,3360,2
30.4,60.8,3390,1
25.6,88.2,188,1
36.0,40.9,4,0
23.3,98.6,4030,2
33.3,53.2,3090,1
26.8,86.1,108,1
30.5,62.1,120,0
24.2,92.5,3950,2
33.2,54.7,2800,1
26.5,85.2,110,1
28.1,78.5,450,0
35.1,44.3,25,0
22.8,98.1,4080,2
30.1,61.2,3500,1
25.1,91.3,205,1
26.8,88.4,600,0
29.4,70.5,210,0
25.5,86.7,3100,2
34.5,48.9,3900,1
24.8,94.6,15,1
27.5,81.1,320,0
32.8,51.2,85,0
23.5,95.5,3720,2
31.9,58.3,2650,1
27.1,82.4,280,1
28.7,76.2,550,0
31.1,65.8,150,0
24.9,89.2,3350,2
29.8,63.1,3010,1
25.9,87.5,140,1
26.3,89.5,710,0
34.7,46.5,40,0
22.4,99.5,4015,2
32.4,55.8,3240,1
24.3,92.1,88,1
28.4,79.3,480,0
28.9,72.4,195,0
25.8,85.1,3050,2
33.8,49.2,3880,1
26.2,84.7,215,1
27.9,83.8,360,0
33.5,53.9,65,0
23.7,94.3,3640,2
30.7,60.4,2750,1
25.4,89.9,45,1
26.6,87.1,650,0
30.2,67.1,135,0
24.6,91.8,3820,2
31.4,57.6,3420,1
27.4,81.5,290,1
28.2,77.4,510,0
35.4,42.8,18,0
22.9,97.6,4065,2
29.3,64.5,2930,1
24.7,93.4,175,1
27.1,85.6,420,0
29.6,69.3,180,0
25.2,88.4,3210,2
34.1,51.7,3710,1
26.8,83.2,105,1
28.6,75.9,680,0
32.1,59.6,105,0
23.2,96.7,3580,2
32.9,52.4,3180,1
25.6,86.8,255,1
26.4,89.2,340,0
31.7,64.2,165,0
24.1,90.5,3910,2
30.5,62.8,2560,1
27.3,80.6,30,1
27.8,82.5,590,0
34.9,45.1,35,0
22.6,98.9,4030,2
33.6,56.1,3550,1
24.5,95.1,125,1
26.9,86.4,450,0
28.4,73.8,220,0
25.7,85.9,3150,2
29.9,59.2,2840,1
26.1,88.7,240,1
28.5,78.1,750,0
33.9,50.5,75,0
23.9,93.2,3470,2
31.2,61.5,3940,1
25.3,91.6,80,1
27.4,84.9,310,0
30.8,66.4,145,0
24.4,92.7,3860,2
34.3,48.4,3310,1
26.5,82.1,275,1
26.1,88.3,530,0
35.7,41.9,12,0
22.5,99.2,4090,2
32.7,54.8,2690,1
24.9,90.3,160,1
28.8,76.7,470,0
29.1,71.2,205,0
25.1,87.6,3280,2
30.4,63.7,3620,1
27.2,81.4,55,1
27.6,81.8,620,0
32.5,58.3,95,0
23.4,95.8,3750,2
33.4,50.1,2980,1
25.8,85.5,225,1
26.7,87.5,390,0
31.4,63.1,155,0
24.8,89.9,3990,2
29.5,60.8,3480,1
26.9,84.2,115,1
28.2,79.6,710,0
34.4,47.7,45,0
22.7,98.4,4045,2
31.8,55.4,2530,1
24.2,94.7,190,1
27.1,85.2,440,0
28.6,74.5,230,0
25.9,86.2,3080,2
34.8,49.6,3810,1
26.4,89.1,35,1
28.9,77.8,660,0
33.1,52.8,80,0
23.8,92.5,3610,2
30.9,62.3,3150,1
25.5,90.8,265,1
26.5,88.9,280,0
30.6,68.7,125,0
24.3,91.1,3790,2
32.3,57.1,3370,1
27.5,80.9,70,1
27.8,83.1,570,0
35.9,40.4,5,0
22.3,99.8,4095,2
29.7,64.9,2870,1
24.6,93.6,145,1
26.2,86.7,490,0
29.3,70.8,215,0
25.4,88.1,3320,2
33.7,51.2,3740,1
26.7,82.8,205,1
28.4,75.4,690,0
32.6,56.5,110,0
23.6,96.3,3540,2
31.1,59.8,2610,1
25.2,92.2,95,1
27.3,84.4,330,0
31.9,65.2,175,0
24.7,89.5,3930,2
34.6,46.8,3280,1
26.3,87.6,285,1
28.7,78.9,500,0
34.1,48.3,55,0
22.2,97.1,4020,2
30.3,61.9,3590,1
24.1,95.5,130,1
26.8,89.4,780,0
32.4,55.2,110,0
23.5,92.1,3850,2
31.8,52.4,3105,1
25.4,88.7,145,1
27.6,82.3,410,0
29.1,68.4,185,0
24.2,96.5,4020,2
33.5,48.1,2750,1
26.8,84.2,80,1
28.5,76.9,590,0
34.2,45.8,40,0
22.4,98.9,3910,2
30.4,62.3,3420,1
24.9,91.5,210,1
26.5,85.1,340,0
31.1,64.7,220,0
25.1,89.4,3650,2
35.6,42.5,3890,1
27.3,81.8,115,1
28.9,79.2,680,0
33.8,50.4,65,0
23.9,94.2,3740,2
29.8,58.7,2980,1
25.7,86.4,195,1
27.1,83.5,460,0
30.7,66.1,130,0
24.6,97.3,4085,2
32.1,54.9,3550,1
26.2,89.1,55,1
28.2,75.4,720,0
28.4,71.5,190,0
22.8,91.8,3520,2
34.5,46.2,3150,1
25.3,93.6,170,1
26.9,87.8,280,0
35.2,43.7,15,0
25.8,90.5,3810,2
31.4,59.3,2640,1
24.5,85.9,235,1
27.8,80.4,530,0
32.9,57.8,85,0
23.1,95.4,3940,2
30.9,61.5,3380,1
26.4,82.7,140,1
28.7,77.1,390,0
29.5,69.2,205,0
24.8,98.1,4055,2
33.2,51.8,2870,1
27.5,88.3,95,1
26.7,86.2,610,0
31.6,63.4,145,0
22.5,93.7,3690,2
35.1,44.8,3720,1
25.6,90.2,165,1
28.1,78.6,440,0
34.8,47.5,50,0
25.5,87.4,3350,2
29.4,65.1,3040,1
26.1,84.8,255,1
27.4,81.9,750,0
30.2,60.9,175,0
23.7,99.2,3985,2
32.5,53.4,3210,1
24.4,92.5,120,1
28.6,79.8,310,0
33.1,56.2,110,0
24.1,89.6,3540,2
31.7,58.6,2790,1
27.2,87.5,185,1
26.5,84.3,580,0
28.8,73.1,230,0
25.9,96.8,4090,2
34.9,49.2,3650,1
25.2,94.1,75,1
27.9,83.1,490,0
35.5,41.4,20,0
22.9,92.4,3780,2
30.5,64.8,3120,1
26.8,89.7,215,1
28.3,76.5,640,0
31.3,67.5,160,0
24.7,90.1,3450,2
33.4,52.1,3840,1
24.8,86.3,105,1
26.9,88.9,270,0
29.7,68.9,140,0
23.4,97.7,4015,2
32.2,55.5,2910,1
27.6,81.2,265,1
28.5,74.2,520,0
34.1,48.6,70,0
25.4,94.5,3620,2
31.9,60.4,3360,1
25.1,91.8,135,1
27.1,85.4,350,0
30.8,62.7,215,0
22.6,98.5,3960,2
35.8,45.3,3790,1
26.5,83.9,85,1
28.9,78.1,710,0
32.6,59.1,105,0
24.3,88.2,3390,2
29.6,63.2,2850,1
24.9,95.6,245,1
26.4,80.7,430,0
28.1,72.8,195,0
25.7,95.1,4070,2
34.4,50.9,3520,1
27.4,86.8,155,1
27.8,82.6,660,0
33.9,51.4,45,0
23.8,91.6,3710,2
30.1,57.5,3180,1
25.8,93.4,115,1
28.2,79.5,290,0
35.4,43.2,10,0
24.5,99.6,3880,2
32.8,56.8,3930,1
26.3,85.5,275,1
26.7,89.3,550,0
31.2,65.4,180,0
22.7,89.9,3480,2
31.5,61.7,2690,1
24.2,87.1,190,1
28.6,77.3,470,0
29.3,69.5,250,0
25.2,96.4,4030,2
33.7,49.8,3270,1
27.7,88.1,65,1
27.5,84.5,740,0
34.6,47.9,80,0
23.6,93.2,3640,2
30.6,59.9,3050,1
25.5,90.7,225,1
26.2,86.9,380,0
32.3,54.1,135,0
24.1,98.8,3920,2
35.3,44.5,3760,1
26.9,82.4,145,1
28.4,75.8,620,0
28.7,70.6,170,0
25.9,91.3,3570,2
31.8,62.1,2950,1
24.6,94.9,285,1
27.3,81.4,410,0
33.3,52.6,90,0
23.2,97.1,4060,2
29.9,58.4,3460,1
27.1,87.6,105,1
26.8,85.7,570,0
30.9,66.8,200,0
22.3,94.6,3830,2
34.7,51.1,2730,1
25.4,89.5,205,1
28.8,80.2,320,0
26.5,88.2,45,1
24.1,98.1,4015,2
34.1,48.5,3950,1
27.5,85.2,450,0
31.5,55.2,12,0
25.1,92.5,120,1
22.8,89.5,3210,2
29.8,61.2,2850,1
26.2,88.5,620,0
29.8,62.1,145,0
27.2,85.4,15,1
25.4,92.3,3650,2
32.4,55.4,3210,1
28.1,79.4,310,0
34.2,45.3,0,0
24.8,94.1,210,1
23.9,97.4,3950,2
31.1,59.8,2980,1
28.8,76.1,280,0
33.1,58.7,85,0
26.9,83.7,85,1
24.8,88.7,3420,2
33.5,49.7,3810,1
26.9,84.7,550,0
28.5,71.2,210,0
25.5,91.8,150,1
22.5,99.1,4090,2
29.5,63.4,2650,1
27.8,81.2,390,0
35.6,41.8,5,0
24.5,93.2,55,1
25.1,91.5,3550,2
30.9,57.1,3150,1
28.5,77.5,250,0
30.2,65.4,90,0
27.4,82.1,0,1
23.2,96.8,3880,2
34.8,46.2,4020,1
26.5,89.1,710,0
32.9,50.1,35,0
26.1,89.5,280,1
24.5,94.2,3720,2
32.1,54.3,3350,1
27.1,83.8,480,0
29.1,74.5,180,0
25.8,90.4,195,1
23.5,95.2,3850,2
30.5,52.1,3500,1
28.4,78.9,340,0
31.8,53.9,60,0
